XP_014740911.1	P35575.2	69.468	357	108	1	1	357	1	356	0.0	527
XP_014740911.1	Q19KA1.1	68.627	357	111	1	1	357	1	356	0.0	527
XP_014740911.1	Q29RU6.1	69.274	358	109	1	1	358	1	357	0.0	524
XP_014740911.1	O19133.1	67.507	357	115	1	1	357	1	356	0.0	520
XP_014740911.1	P35576.2	66.667	357	118	1	1	357	1	356	6.90e-175	493
XP_014740911.1	P43428.1	66.947	357	117	1	1	357	1	356	2.86e-167	473
XP_014740911.1	Q9Z186.1	52.260	354	168	1	5	357	1	354	1.53e-135	393
XP_014740911.1	Q9NQR9.1	53.803	355	161	2	5	357	1	354	2.68e-132	384
XP_014740911.1	O42153.1	55.241	353	151	4	5	355	1	348	1.89e-122	359
XP_014740911.1	O42154.1	55.755	278	116	4	80	355	1	273	7.66e-93	281
XP_014740911.1	A1A5Z0.1	38.701	354	199	7	5	356	1	338	1.97e-68	221
XP_014740911.1	Q9BUM1.2	35.838	346	208	6	1	346	1	332	7.54e-65	212
XP_014740911.1	Q6NSQ9.1	34.530	362	210	10	1	357	1	340	4.90e-63	207
XP_014740911.1	Q6AZ83.1	35.143	350	211	7	1	349	1	335	5.11e-63	207
XP_014740911.1	Q148G2.1	35.097	359	212	9	1	356	1	341	1.33e-62	206
KAF1561075.1	Q19KA1.1	68.994	358	110	1	1	358	1	357	0.0	534
KAF1561075.1	P35575.2	69.274	358	109	1	1	358	1	357	0.0	532
KAF1561075.1	O19133.1	68.156	358	113	1	1	358	1	357	0.0	529
KAF1561075.1	Q29RU6.1	69.553	358	108	1	1	358	1	357	0.0	527
KAF1561075.1	P35576.2	66.760	358	118	1	1	358	1	357	1.32e-177	499
KAF1561075.1	P43428.1	67.318	358	116	1	1	358	1	357	2.25e-169	479
KAF1561075.1	Q9Z186.1	53.955	354	162	1	5	357	1	354	2.22e-142	410
KAF1561075.1	Q9NQR9.1	55.085	354	158	1	5	357	1	354	3.57e-140	404
KAF1561075.1	O42153.1	54.391	353	154	4	5	355	1	348	3.24e-121	356
KAF1561075.1	O42154.1	55.036	278	118	4	80	355	1	273	5.14e-92	279
KAF1561075.1	A1A5Z0.1	38.418	354	201	5	5	356	1	339	1.38e-68	221
KAF1561075.1	Q9BUM1.2	36.313	358	213	8	1	358	1	343	1.70e-66	216
KAF1561075.1	Q148G2.1	35.754	358	215	7	1	358	1	343	1.40e-65	214
KAF1561075.1	Q6NSQ9.1	36.134	357	211	8	1	357	1	340	1.50e-64	211
KAF1561075.1	Q6AZ83.1	36.544	353	210	7	1	353	1	339	1.14e-63	209
PKU41280.1	Q19KA1.1	69.274	358	109	1	1	358	1	357	0.0	539
PKU41280.1	O19133.1	69.274	358	109	1	1	358	1	357	0.0	538
PKU41280.1	P35575.2	69.553	358	108	1	1	358	1	357	0.0	538
PKU41280.1	Q29RU6.1	69.832	358	107	1	1	358	1	357	0.0	534
PKU41280.1	P35576.2	67.039	358	117	1	1	358	1	357	1.16e-178	502
PKU41280.1	P43428.1	66.760	358	118	1	1	358	1	357	2.47e-168	476
PKU41280.1	Q9Z186.1	54.520	354	160	1	5	357	1	354	1.87e-145	418
PKU41280.1	Q9NQR9.1	55.650	354	156	1	5	357	1	354	1.21e-142	410
PKU41280.1	O42153.1	54.958	353	152	4	5	355	1	348	2.98e-122	359
PKU41280.1	O42154.1	55.396	278	117	4	80	355	1	273	2.08e-92	280
